Region,Region Type,Year,Residential Property Tax,Commercial Property Tax,Seasonal Property Tax,"Forest Property Tax (50,000 acres or more)",Total Commercial Property Revenue,Resource Taxable assessments,"Forest property tax (less than 50,000 acres)",Total Resource Revenue,Recreation property tax,Wind farm payment from Province of NS,Farm property acreage payment from Province of NS,Conservation payment from Province of NS,Total Other Assessable Property Tax Revenue,Bell Aliant - based on revenues,Wind farm taxes from developers,Other special tax agreements or legislation,Total Special Tax Agreement Revenue,Subtotal Assessable Property,"Area rates, uniform charges, and special assessments",Sewer rates/charges,Taxes and rates collected for other Governments/ Agencies,Less: Transmission of taxes and rates collected for other Govs/Agencies,"Total Other Rates, Charges and Assessments",Deed transfer tax,Other Taxes,Total Other Tax Revenue,Appropriations to regional school board,Transfer to correctional services,Deficit of Regional Housing Authority,Total Expenditures as a Reduction of Tax Revenue,NET PROPERTY TAXES AND PAYMENTS IN LIEU OF TAXES,Federal government and federal government agencies Grant in Lieu,PILT payment,Fire protection,Other Grant in Lieu,Total Provincial Government and Agencies Grants in Lieu of Taxes,TOTAL GRANTS IN LIEU OF TAXES,Service Provided to Federal government,Service Provided to Provincial government,Service Provided to Other local governments,TOTAL SERVICES PROVIDED TO OTHER GOVERNMENTS,General government services,Protective services,Transportation services - Transit,Transportation services - Other,Environmental health services,Public health services,Environmental development services,Recreation and cultural services,Wind power,Other services,TOTAL SALES OF SERVICES,Licenses and permits,Fines,Rentals,Concessions and franchises,Return on investments,Penalties and interest on taxes,Miscellaneous,TOTAL OTHER REVENUE FROM OWN SOURCES,Municipal Grants Act - Equalization and Town Foundation,NSPI - Grant in lieu of taxes,NSPI - HST offset,Federal government and federal government agencies Unconditional Transfers,Provincial government and provincial government agencies,Other Unconditional Transfers,TOTAL UNCONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Gas tax revenues,Federal government and federal government agencies Conditional Transfers,Provincial government and provincial agencies,Other local governments Conditional Transfers,TOTAL CONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Net Income from Government Business Enterprises,Water Fund Revenues,Electric Fund Revenues,TOTAL REVENUE,Mayor/Warden Remuneration,Mayor/Warden Wxpenses,Council Remuneration,Council Expenses,Other legislative services,Total Legislative Expenses,General administrative and financial management services,Tax rebates or cancellations (MGA),Transfer for assessment services,Other taxation,Total General Administrative Expenses,Valuation Allowances,General Gov Interest on long-term debt,General Gov Short-term interest and other debt charges,"General gov amortization, gain / loss, writedowns on capital assets",Other general government services,TOTAL GENERAL GOVERNMENT SERVICES,Police protection,Water supply and hydrants,Other fire protection,Total Fire Protection,Protective Services Interest on long-term debt,Protective Services Short-term interest and other debt charges,"Protective Services Amortization, gain / loss, writedowns on capital assets",Other protective services,TOTAL PROTECTIVE SERVICES,Common services,Road transport,Air transport,Water transport,Public transit,Transportation Interest on long-term debt,Transportation Short-term interest and other debt charges,"Transportation Amortization, gain / loss, writedowns on capital assets",Other transportation services,TOTAL TRANSPORTATION SERVICES,Sewage collection and disposal,Garbage and waste collection and disposal,Transfer to the capital reserve for landfill closure/ post-closure costs,Other current expenditures for landfill costs,Total Municipal Landfill Expenses,Environmental Health Interest on long-term debt,Environmental Health Short-term interest and other debt charges,"Environmental Health Amortization, gain / loss, writedowns on capital assets",Other environmental health services,TOTAL ENVIRONMENTAL HEALTH SERVICES,Public Health,Public Health Interest on long-term debt,Public health Short-term interest and other debt charges,"Public Health Amortization, gain / loss, writedowns on capital assets",Other public health services,TOTAL PUBLIC HEALTH SERVICES,Environmental planning and zoning,Community development,Environmental Development Interest on long-term debt,Environmental Development Short-term interest and other debt charges,"Environmental Development Amortization, gain / loss, writedowns on capital assets",Other environmental development services,TOTAL ENVIRONMENTAL DEVELOPMENT SERVICES,Recreation facilities,Cultural buildings and facilities,Transfers to regional library,Other Transfers to Library ,Recreation Interest on long-term debt,Short-term interest and other debt charges,"Recreation Amortization, gain / loss, writedowns on capital assets",Other recreation and cultural services,TOTAL RECREATION AND CULTURAL SERVICES,Extraordinary or special revenue items ,Extraordinary or special expenditure items,Optional (supplementary) education contributions,TOTAL EXTRAORDINARY OR SPECIAL ITEMS,Water fund expenses,Water Fund Interest on long-term debt,"Water Fund Amortization, gain / loss, writedowns on capital assets",TOTAL WATER FUND,Electric fund expenses,Electric Fund Interest on long-term debt,"Electric Fund Amortization, gain / loss, writedowns on capital assets",TOTAL ELECTRIC FUND,TOTAL EXPENSES
CBRM,Regional Municipality,2021-22,77297319,31536980,0,0,31536980,1519408,0,1519408,0,0,0,0,0,460883,218027,0,678910,111032617,719260,726892,176239,-176239,1446152,5409140,0,5409140,-15282089,-1066680,-2136004,-18484773,99403136,3940157,2185669,151245,270146,2607060,6547217,0,801142,0,801142,703090,0,750331,0,2900470,0,0,1005066,0,41056,5400013,533470,117845,586177,56733,112102,1543084,5617217,8566628,30671676,3040844,504220,0,0,0,34216740,13209353,6912205,30635826,9222,50766606,0,20119683,0,225821165,148182,15140,613260,9020,531870,1317472,6950892,108773,1390867,0,8450532,794071,863778,-172075,642104,5252640,17148522,31589534,0,12320085,12320085,227824,177788,1385808,595234,46296273,852946,25359006,0,0,7052681,622100,-184462,8948090,1540240,44190601,2692437,12197499,0,3795454,3795454,157768,-76193,3084859,126436,21978260,0,0,0,0,0,0,1342135,8617,0,0,736471,9337,2096560,8552976,360278,703800,0,147939,-8201,1805834,-4101,11558525,0,0,0,0,11482835,1098387,3729115,16310337,0,0,0,0,159579078
HRM,Regional Municipality,2021-22,281433000,243142000,0,0,243142000,1392000,130000,1522000,24000,0,0,0,24000,1784000,0,5452000,7236000,533357000,255945000,3776000,0,0,259721000,81369000,6466000,87835000,-154790000,-6801000,-4262000,-165853000,715060000,29809000,9537000,0,862000,10399000,40208000,0,0,0,0,7718000,9667000,23896000,194000,5881000,0,2057000,28078000,0,6483000,83974000,11258000,873000,5745000,0,4737000,3513000,29295000,55421000,0,4547000,3582000,0,3471000,0,11600000,51813000,2467000,24679000,0,78959000,4687000,0,0,989909000,190072,4212,1486000,20333,1975383,3676000,94198000,9834000,7290000,0,111322000,-495000,1566033,0,14182000,5678967,135930000,143816000,7684000,88712000,96396000,189991,0,5504000,14499009,260405000,23948000,57451000,0,0,127295000,2818284,0,96819000,1716,308333000,0,43201000,0,5347000,5347000,0,0,1573000,0,50121000,0,0,0,0,0,0,18060000,0,363,0,164000,20625637,38850000,38767000,3141000,29645000,0,1016300,0,22372000,37987700,132929000,0,0,13890000,13890000,0,0,0,0,0,0,0,0,940458000
Region of Queens,Regional Municipality,2021-22,8560744,1593344,28759,268,1622371,829297,29945,859242,0,0,12192,0,12192,42144,24476,0,66620,11121169,1623892,554984,40544,-40540,2178880,1667139,0,1667139,-3025360,-176247,-95930,-3297537,11669651,56880,229365,27639,0,257004,313884,0,0,2133526,2133526,0,10435,0,0,843287,1507204,0,388717,0,21670,2771313,63201,23860,92354,0,50582,134293,932325,1296615,2434468,829326,58589,0,0,0,3322383,1379409,59526,156175,0,1595110,0,729351,0,23831833,44526,62,155844,5608,21207,227247,1174347,64892,315429,89077,1643745,83288,0,0,40770,410366,2405416,2247119,196366,930100,1126466,0,0,28901,374448,3776934,1288938,1057462,9456,0,0,3955,1541,407407,0,2768759,381011,2246879,322249,668848,991097,33303,1154,698251,668408,5020103,1422089,0,0,16284,0,1438373,359617,941761,0,0,61901,325000,1688279,1485560,136644,92000,0,61628,0,596887,0,2372719,0,0,0,0,587697,19753,108585,716035,0,0,0,0,20186618
West Hants,Regional Municipality,2021-22,6173743,1196181,0,0,1196181,220650,22628,243278,0,0,0,0,0,79380,0,53803,133183,7746385,11642841,2238404,0,0,13881245,2662847,18064,2680911,-4623048,-252159,-128139,-5003346,19305195,131377,56350,29678,32058,118086,249463,0,140392,554186,694578,16221,0,0,0,0,0,0,618840,172656,173028,980745,82567,33446,105173,0,146974,365292,1173828,1907280,1125416,204319,0,0,89139,116580,1535454,886761,52042,1063264,0,2002067,0,3712132,0,30386914,54128,702,293309,5600,100884,454623,1768737,111545,333473,0,2213755,0,10007,10396,1516661,535181,4740623,4946645,860282,1459963,2320245,126257,2177,0,546888,7942212,38476,1382671,0,0,0,78647,5407,1217247,622612,3345060,1575934,1297791,0,50035,50035,134430,0,634347,70807,3763344,0,0,0,0,0,0,634636,71208,0,0,0,0,705844,1165625,173811,119543,0,1622,10921,819381,1216341,3507244,222320,0,0,222320,2045251,62772,669428,2777451,0,0,0,0,27004099
Amherst,Town,2021-22,6676654,5921916,0,0,5921916,23308,1060,24368,0,0,0,0,0,47986,0,71694,119680,12742618,626206,1072392,0,0,1698598,787896,0,787896,-1629828,-109655,-246897,-1986380,13242732,96342,134256,35012,24460,193728,290070,0,0,198565,198565,0,108077,0,5672,41014,0,25553,3458,0,1379962,1563736,36589,22857,258098,0,51924,111498,115047,596013,2520764,9695,47072,0,0,0,2577531,1371503,15293,728715,0,2115511,0,1575706,0,22159864,41178,2518,152973,10800,28057,235526,1010961,174881,114554,153509,1453905,4631,0,0,91908,657684,2443654,4290790,0,1110723,1110723,43313,0,321158,118694,5884678,64935,1394695,0,0,0,42266,0,1062553,483134,3047583,690411,641405,0,1668426,1668426,124533,0,545346,42829,3712950,0,0,0,0,0,0,185480,104739,0,0,3243,31819,325281,1236956,70971,87299,0,44798,0,325996,343796,2109816,0,0,0,0,1329801,27700,372851,1730352,0,0,0,0,19254314
Annapolis Royal,Town,2021-22,818878,350177,0,0,350177,4287,0,4287,0,0,0,0,0,4476,0,0,4476,1177819,24150,0,0,0,24150,155664,5122,160786,-147660,-11249,-19407,-178316,1184439,34436,22400,0,0,22400,56836,0,0,0,0,0,31473,0,0,50725,0,0,81139,0,6625,169962,3969,8780,26530,0,3458,8021,13987,64746,183912,379673,7463,71860,107453,13717,764078,111604,0,0,1000,112604,0,366826,0,2719490,11390,360,23550,633,0,35933,236134,18248,12818,153681,420881,0,0,786,19075,0,476675,406539,0,73000,73000,0,0,16446,40234,536219,104748,73371,0,0,5000,0,0,93766,0,276885,101373,70986,0,0,0,2675,0,80034,0,255068,0,5239,0,0,0,5239,106980,30466,0,0,8773,75731,221949,92046,1833,35886,0,0,0,125578,0,255343,0,0,0,0,417517,1505,58623,477645,0,0,0,0,2505023
Antigonish,Town,2021-22,3568331,1824970,0,0,1824970,7735,0,7735,0,0,0,0,0,29148,0,0,29148,5430184,485093,655675,0,0,1140768,508307,268286,776593,-1491809,-76772,-125218,-1693799,5653746,51684,1037076,0,3409,1040485,1092169,0,0,252996,252996,0,36000,0,39133,0,0,0,91040,16324834,15285,16506292,5780,62330,1518,0,46041,25953,27481,169103,353412,0,52349,0,56299,28000,490060,657173,0,1119196,0,1776369,0,1529398,11870892,39341025,43691,0,152012,0,2457,198160,704628,0,75337,0,779965,0,16415,7809,68399,650578,1721326,1810520,0,155533,155533,10917,0,119581,228162,2324713,1255568,486675,0,0,0,33090,0,615618,176995,2567946,568981,478125,0,0,0,0,0,179405,0,1226511,0,0,0,0,0,0,113836,13611036,851735,0,1262084,607779,16446470,387113,26863,41058,0,18836,0,135361,256496,865727,0,0,0,0,565090,28570,383892,977552,9858143,0,225957,10084100,36214345
Berwick,Town,2021-22,2228105,990836,0,0,990836,16563,0,16563,0,0,1397,0,1397,12055,0,0,12055,3248956,0,523342,0,0,523342,178186,0,178186,-549984,-28717,-51759,-630460,3320024,7011,0,0,0,0,7011,0,0,210955,210955,26000,0,0,0,0,0,0,111499,6996357,0,7133856,18164,958,66030,0,2256,35901,128595,251904,442958,0,23617,0,0,0,466575,315679,32749,2340742,41020,2730190,0,0,5346931,19467446,20702,1956,59021,261,35468,117408,557637,123990,31266,0,712893,0,56345,0,114585,130762,1131993,685968,0,215337,215337,29302,0,161476,54142,1146225,113647,690597,0,0,70384,7171,0,124479,0,1006278,356682,223078,0,0,0,8602,0,214513,0,802875,0,0,0,0,0,0,77163,71518,364652,0,540893,5844036,6898262,252403,0,17400,0,8895,0,57724,198515,534937,0,0,0,0,0,0,0,0,4695076,31039,332574,5058689,16579259
Bridgewater,Town,2021-22,9314264,6558440,0,0,6558440,50518,0,50518,0,0,252,0,252,46754,0,0,46754,15970228,429869,1961792,0,0,2391661,1066466,0,1066466,-2150126,-119409,-79687,-2349222,17079133,29489,687862,13144,38628,739634,769123,0,0,0,0,61630,864458,48597,35510,0,82983,1400,465852,0,0,1560430,210597,30411,57768,0,142737,127855,180478,749846,1063314,16348,69878,0,0,0,1149540,934040,905954,819867,326297,2986158,492697,0,0,24786927,67020,4030,172333,2723,22189,268295,1194321,134248,121809,0,1450378,5793,5712,17333,453710,948585,3149806,4514243,795113,569186,1364299,15679,190,354243,287820,6536474,1151781,965525,0,0,230140,47620,11647,1966004,0,4372717,1473857,920735,0,0,0,19264,12336,878883,0,3305075,179655,0,0,16342,0,195997,531787,11116,0,0,942,561241,1105086,2439163,287123,50168,0,71055,0,671664,80309,3599482,0,0,0,0,0,0,0,0,0,0,0,0,22264637
Clark's Harbour,Town,2021-22,512543,433466,0,0,433466,17853,0,17853,0,0,0,0,0,3665,0,0,3665,967527,0,95156,0,0,95156,31259,0,31259,-121492,-8971,-40788,-171251,922691,29584,2078,0,0,2078,31662,0,0,-781,-781,0,0,0,0,0,0,0,0,0,0,0,110,1453,17526,0,8677,10367,-6430,31703,379644,0,4333,0,0,0,383977,90665,22176,0,0,112841,0,0,0,1482093,19474,0,56083,299,0,75856,183051,500,11934,0,195485,0,2826,1918,21534,27238,324857,171481,0,51080,51080,0,0,0,13361,235922,64855,35179,0,0,0,0,0,73280,0,173314,167807,162663,0,0,0,0,0,48630,0,379100,0,0,0,0,0,0,0,17926,0,0,14199,1309,33434,60235,31257,5272,0,0,0,36055,0,132819,0,0,0,0,0,0,0,0,0,0,0,0,1279446
